"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"result";"principal";"context";"entries";"component";"realm"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-299";"2023-06-11T23:25:53.821Z";"AM-LOGIN-MODULE-COMPLETED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-293";;"[""5259fccb36d11a7901""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-313";"2023-06-11T23:25:53.839Z";"AM-LOGIN-COMPLETED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-293";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-191";"2023-06-11T23:35:39.657Z";"AM-LOGIN-MODULE-COMPLETED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-0";;"[""7b7ca186d7edca1201""]";"SUCCESSFUL";"[""cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-201";"2023-06-11T23:35:39.702Z";"AM-LOGIN-COMPLETED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-0";"cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org";"[""7b7ca186d7edca1201""]";"SUCCESSFUL";"[""dsameuser""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-278";"2023-06-11T23:36:04.655Z";"AM-LOGIN-MODULE-COMPLETED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-268";;"[""93f1e50050bc185b01""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-292";"2023-06-11T23:36:04.675Z";"AM-LOGIN-COMPLETED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-268";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-428";"2023-06-11T23:36:44.832Z";"AM-LOGIN-MODULE-COMPLETED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-422";;"[""e479998c1303f4a801""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-442";"2023-06-11T23:36:44.848Z";"AM-LOGIN-COMPLETED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-422";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"47c1d8ba-e1a5-4474-a356-154f5603be91-191";"2023-06-12T00:23:40.257Z";"AM-LOGIN-MODULE-COMPLETED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";;"[""6f4d4db6119ce3b401""]";"SUCCESSFUL";"[""cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-202";"2023-06-12T00:23:40.310Z";"AM-LOGIN-COMPLETED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"cn=dsameuser,ou=DSAME Users,dc=openam,dc=openidentityplatform,dc=org";"[""6f4d4db6119ce3b401""]";"SUCCESSFUL";"[""dsameuser""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""127.0.1.1"",""authLevel"":""0""}}]";"Authentication";"/"
