"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"runAs";"objectId";"operation";"before";"after";"changedFields";"revision";"component";"realm"
"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-419";"2023-06-11T23:26:22.032Z";"AM-SESSION-DESTROYED";"0e3c454c-1ed0-4cd6-8f4e-7f235bd95c74-0";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""6d2ef2499a4385af01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"6d2ef2499a4385af01";"DELETE";;;;;"Session";"/"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-171";"2023-06-11T23:35:39.474Z";"AM-SESSION-EVENT_URL_ADDED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""279b01c6dcd389e201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"279b01c6dcd389e201";"UPDATE";;;;;"Session";"/"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-193";"2023-06-11T23:35:39.694Z";"AM-SESSION-CREATED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""7b7ca186d7edca1201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"7b7ca186d7edca1201";"CREATE";;;;;"Session";"/"
"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-213";"2023-06-11T23:35:39.727Z";"AM-SESSION-EVENT_URL_ADDED";"ae6ac0fa-2db9-47aa-a1c0-507cabda3971-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""7b7ca186d7edca1201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"7b7ca186d7edca1201";"UPDATE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-171";"2023-06-12T00:23:40.074Z";"AM-SESSION-EVENT_URL_ADDED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""eeccbf78c8157c5c01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"eeccbf78c8157c5c01";"UPDATE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-193";"2023-06-12T00:23:40.302Z";"AM-SESSION-CREATED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""6f4d4db6119ce3b401""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"6f4d4db6119ce3b401";"CREATE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-215";"2023-06-12T00:23:40.334Z";"AM-SESSION-EVENT_URL_ADDED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""6f4d4db6119ce3b401""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"6f4d4db6119ce3b401";"UPDATE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-428";"2023-06-12T00:24:38.171Z";"AM-SESSION-IDLE_TIMED_OUT";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""23c14a39e07cd2d201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"23c14a39e07cd2d201";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-429";"2023-06-12T00:24:38.171Z";"AM-SESSION-IDLE_TIMED_OUT";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c4c01f67865ba31a01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"c4c01f67865ba31a01";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-431";"2023-06-12T00:24:38.172Z";"AM-SESSION-IDLE_TIMED_OUT";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""acb1a9166936bef201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"acb1a9166936bef201";"DELETE";;;;;"Session";"/"
"47c1d8ba-e1a5-4474-a356-154f5603be91-433";"2023-06-12T00:24:38.171Z";"AM-SESSION-DESTROYED";"47c1d8ba-e1a5-4474-a356-154f5603be91-0";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""23c14a39e07cd2d201""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"23c14a39e07cd2d201";"DELETE";;;;;"Session";"/"
